Ticker,Date,RET,Volume,AdjClose,Amihud,CSSpread
AAPL,2000-01-04,-8.80777255052438,512377600.0,0.767802178859711,0.0223885834251734,0.07962168844828076
AAPL,2000-01-05,1.45274142071111,778321600.0,0.779037773609161,0.0023959112134934284,0.06074694822764394
AAPL,2000-01-06,-9.05138359960354,767972800.0,0.711621165275574,0.01656228584419695,0.0
AAPL,2000-01-07,4.62811827229663,460734400.0,0.745329856872559,0.013477374323010171,0.030519142909045987
AAPL,2000-01-10,-1.77442460878766,505064000.0,0.732221186161041,0.004798095052847352,0.04474038070752132
AAPL,2000-01-11,-5.25056711536612,441548800.0,0.69476729631424,0.01711544274447078,0.0
AAPL,2000-01-12,-6.18466861152179,976068800.0,0.65310001373291,0.009701889198945242,0.0
AAPL,2000-01-13,10.4068914185264,1032684800.0,0.724730014801025,0.013905192020813929,0.05263816625365259
AAPL,2000-01-14,3.74051064641898,390376000.0,0.752351999282837,0.012735813949022966,0.0
AAPL,2000-01-18,3.42541411339375,459177600.0,0.778569638729095,0.00958153135470711,0.0
AAPL,2000-01-19,2.49424341178182,597643200.0,0.798233270645142,0.005228378570301546,0.0
AAPL,2000-01-20,6.30712999117636,1831132800.0,0.850200474262238,0.004051264487753679,0.0
AAPL,2000-01-21,-1.94612875625671,495924800.0,0.833814442157745,0.004706372848995093,0.020639042130883554
AAPL,2000-01-24,-4.65467885670108,440876800.0,0.795892477035522,0.013265330579502983,0.0
AAPL,2000-01-25,5.49333035017054,497145600.0,0.840836644172668,0.013141365259223917,0.053354725327063986
AAPL,2000-01-26,-1.8544960394675,367158400.0,0.825387060642242,0.006119483741373731,0.0
AAPL,2000-01-27,-0.170274256782132,340144000.0,0.823982834815979,0.0006075303997818338,0.0058527582989013885
AAPL,2000-01-28,-7.91910643177109,423348800.0,0.761247575283051,0.024572646017711808,0.0
AAPL,2000-01-31,2.06944270986967,701680000.0,0.777165293693542,0.0037949050323734163,0.0
AAPL,2000-02-01,-3.43171130063453,318035200.0,0.750947654247284,0.014368978324833874,0.002582494284201004
AAPL,2000-02-02,-1.44433323158422,464195200.0,0.740179419517517,0.0042036810107265584,0.0
AAPL,2000-02-03,4.45346112194312,475193600.0,0.773888051509857,0.012110133788314431,0.016436535316851332
AAPL,2000-02-04,4.43734036512337,425320000.0,0.809001386165619,0.012896078601706615,0.0
AAPL,2000-02-07,5.46149281637579,441067200.0,0.854413747787476,0.014492335399036263,0.0
AAPL,2000-02-08,0.709858564896132,408643200.0,0.860500454902649,0.002018721674805474,0.0
AAPL,2000-02-09,-1.9781958112231,299364800.0,0.843645334243774,0.007832648460026423,0.018740771037446004
AAPL,2000-02-10,0.773998756041733,302982400.0,0.850200474262238,0.0030047027770469903,0.0
AAPL,2000-02-11,-4.27515755048669,212251200.0,0.814619064331055,0.024725631953125573,0.024937511595003552
AAPL,2000-02-14,6.29209620134713,367539200.0,0.867522597312927,0.019733807716594498,0.03718506200239838
AAPL,2000-02-15,2.71510086964462,485744000.0,0.891399383544922,0.0062705580776364934,0.0
AAPL,2000-02-16,-4.18293282101088,378246400.0,0.854881823062897,0.012935999898663087,0.014638357704437886
AAPL,2000-02-17,0.655090355687185,289497600.0,0.860500454902649,0.0026296935055728087,0.009695383430836493
AAPL,2000-02-18,-3.20646389271049,233441600.0,0.833346486091614,0.0164824775955742,0.00969449885457577
AAPL,2000-02-22,2.27719009310202,422296000.0,0.852541089057922,0.006325094209694253,0.019930057160052344
AAPL,2000-02-23,2.11903964977789,473099200.0,0.870799541473389,0.00514361764643207,0.014309128726646298
AAPL,2000-02-24,-0.904610945677942,376432000.0,0.862957715988159,0.0027847472705166527,0.05754533437632147
AAPL,2000-02-25,-4.28129719069223,249144000.0,0.826791644096375,0.020783987106637227,0.022900549132418156
AAPL,2000-02-28,2.57143443116891,328328000.0,0.84832775592804,0.009232171360039234,0.01980755632983362
AAPL,2000-02-29,1.20686021861537,368961600.0,0.858627915382385,0.0038095247465392713,0.0
AAPL,2000-03-01,12.826854178615,1077003200.0,0.976138234138489,0.012200899222810384,0.0
AAPL,2000-03-02,-6.59135575046785,311259200.0,0.913872122764587,0.023172192391877247,0.0
AAPL,2000-03-03,4.8008280599361,323366400.0,0.95881575345993,0.0154841047079925,0.012556018751344206
AAPL,2000-03-06,-1.82309069474917,210560000.0,0.941494047641754,0.009196335860508236,0.0014362889174393966
AAPL,2000-03-07,-2.26314074761561,273011200.0,0.92042601108551,0.009006213062597532,0.0
AAPL,2000-03-08,-0.714596617571316,271230400.0,0.913872122764587,0.0028829503441807876,0.0
AAPL,2000-03-09,0.204711589932031,276718400.0,0.915744841098785,0.0008078484810053986,0.03749513446737916
AAPL,2000-03-10,2.82274229874396,248606400.0,0.941962242126465,0.012053840257588218,0.0
AAPL,2000-03-13,-3.59266484348671,303956800.0,0.908721387386322,0.013006908672165658,0.027649657148461265
AAPL,2000-03-14,-5.99806974955445,428579200.0,0.855818092823029,0.016353057290171117,0.0
AAPL,2000-03-15,1.73539576280394,443609600.0,0.870799541473389,0.004492410204247726,0.03531447173226188
AAPL,2000-03-16,4.46853162012995,378100800.0,0.91059398651123,0.01297873787307035,0.03737630022211915
AAPL,2000-03-17,2.78856497417415,305043200.0,0.936343848705292,0.009763017284345882,0.0
AAPL,2000-03-20,-1.61295185591031,204489600.0,0.921362221240997,0.008560906982899383,0.0
AAPL,2000-03-21,9.26273822971076,524328000.0,1.01078307628632,0.017477462484293656,0.009837105896412523
AAPL,2000-03-22,6.63031666463008,567996800.0,1.08007287979126,0.010807750756549236,0.0
AAPL,2000-03-23,-2.01406353980473,562564800.0,1.05853712558746,0.0033821628782360444,0.0
AAPL,2000-03-24,-1.8750880446555,446913600.0,1.03887355327606,0.0040386424279200825,0.0
AAPL,2000-03-27,0.628951667798858,279182400.0,1.04542815685272,0.0021549393113394315,0.03933241724678504
