Ticker,Horizon,Mode,n,winshare_origin,dbar,kstar_dropk
MSFT,1m,filtered,43,0.721,0.00904759854227246,
MSFT,1m,unfiltered,127,0.622,0.009012280113358008,
MSFT,2m,filtered,43,0.767,0.015645503535552382,
MSFT,2m,unfiltered,127,0.646,0.0032733645127524065,
MSFT,3m,filtered,43,0.837,0.01626214795310139,
MSFT,3m,unfiltered,127,0.669,0.00048295745449648505,
MSFT,4m,filtered,43,0.767,0.018413437245227496,
MSFT,4m,unfiltered,127,0.661,0.0028661920727816553,
MSFT,5m,filtered,43,0.767,0.017082513922434393,
MSFT,5m,unfiltered,127,0.638,0.00403670246466224,
MSFT,6m,filtered,43,0.767,0.01807720147436697,
MSFT,6m,unfiltered,127,0.622,0.004660523163072809,
MSFT,7m,filtered,43,0.884,0.0189683827619001,
MSFT,7m,unfiltered,127,0.677,0.005691171627840647,
MSFT,8m,filtered,43,0.814,0.017791816785896544,
MSFT,8m,unfiltered,127,0.638,0.006325079575285386,
SP500,1d,filtered,69,0.609,0.0004198426242877982,
SP500,1d,unfiltered,127,0.575,-0.0005446645380351021,1.0
SP500,5d,filtered,69,0.681,0.0040922099255480794,
SP500,5d,unfiltered,127,0.575,0.008353363188059973,
SP500,10d,filtered,69,0.638,0.004139188724280952,
SP500,10d,unfiltered,127,0.583,0.005233771792676573,
SP500,15d,filtered,69,0.725,0.007776016388426199,
SP500,15d,unfiltered,127,0.638,0.005990502514913757,
SP500,1m,filtered,69,0.754,0.010008460359730919,
SP500,1m,unfiltered,127,0.654,0.004782037548556314,
SP500,2m,filtered,69,0.812,0.02885207549964059,
SP500,2m,unfiltered,127,0.661,-0.002697086564995247,1.0
SP500,3m,filtered,69,0.841,0.04011004120272232,
SP500,3m,unfiltered,127,0.669,-0.004659705130007491,1.0
SP500,4m,filtered,69,0.87,0.04690098740977739,
SP500,4m,unfiltered,127,0.693,-0.009212443992364438,1.0
SP500,5m,filtered,69,0.899,0.05055102647841462,
SP500,5m,unfiltered,127,0.709,-0.014544321210410908,1.0
SP500,6m,filtered,69,0.884,0.054356241854480035,
SP500,6m,unfiltered,127,0.693,-0.01747815791784999,1.0
SP500,7m,filtered,69,0.884,0.0526180046028017,
SP500,7m,unfiltered,127,0.685,-0.02056367190991407,1.0
SP500,8m,filtered,69,0.855,0.047369956173028874,
SP500,8m,unfiltered,127,0.693,-0.0184784030711707,1.0
XLB,1d,filtered,75,0.547,-0.005275339200418148,
XLB,1d,unfiltered,127,0.575,-0.0015151539901564512,1.0
XLB,5d,filtered,75,0.507,-0.0006079928202477802,
XLB,5d,unfiltered,127,0.528,0.001991063147942239,
XLB,10d,filtered,75,0.533,0.0013026778347724713,
XLB,10d,unfiltered,127,0.551,0.0016470284479964865,
XLB,15d,filtered,75,0.613,0.003623876699989565,
XLB,15d,unfiltered,127,0.614,0.004040437258048331,
XLB,1m,filtered,75,0.72,0.00444596648142479,
XLB,1m,unfiltered,127,0.654,0.0064749375483569805,
XLB,2m,filtered,75,0.76,0.012337667621318467,
XLB,2m,unfiltered,127,0.661,0.0047992971351754074,
XLB,3m,filtered,75,0.787,0.01806170611414382,
XLB,3m,unfiltered,127,0.693,0.0006234094738383727,
XLB,4m,filtered,75,0.773,0.01915212830149141,
XLB,4m,unfiltered,127,0.669,-0.0035287429616068003,1.0
XLB,5m,filtered,75,0.8,0.018986043054500364,
XLB,5m,unfiltered,127,0.638,-0.007929351083143936,1.0
XLB,6m,filtered,75,0.787,0.020967281988993676,
XLB,6m,unfiltered,127,0.622,-0.01125868884264988,1.0
XLB,7m,filtered,75,0.747,0.024215354637795977,
XLB,7m,unfiltered,127,0.606,-0.007062032686688928,1.0
XLB,8m,filtered,75,0.72,0.02571194888415582,
XLB,8m,unfiltered,127,0.583,0.0001943600224182638,
XLE,1d,filtered,83,0.542,0.00762704898964616,
XLE,1d,unfiltered,127,0.551,0.007723577382088261,
XLE,5d,filtered,83,0.59,0.0013855033100277532,
XLE,5d,unfiltered,127,0.591,0.0043369994932948115,
XLE,10d,filtered,83,0.602,0.002751984954291125,
XLE,10d,unfiltered,127,0.63,0.0037863759802323742,
XLE,15d,filtered,83,0.614,0.0033420292641411923,
XLE,15d,unfiltered,127,0.598,0.003827658656854872,
XLE,1m,filtered,83,0.614,0.001955232488067594,
XLE,1m,unfiltered,127,0.559,0.0016152585387382368,
XLE,2m,filtered,83,0.663,0.003955432954080849,
XLE,2m,unfiltered,127,0.606,-0.01150277958899336,2.0
XLE,3m,filtered,83,0.663,0.0068103194671673825,
XLE,3m,unfiltered,127,0.591,-0.0219890235467288,2.0
XLE,4m,filtered,83,0.711,0.014122484761389878,
XLE,4m,unfiltered,127,0.646,-0.020797642740979394,2.0
XLE,5m,filtered,83,0.711,0.01827771781102839,
XLE,5m,unfiltered,127,0.638,-0.0166275467175397,2.0
XLE,6m,filtered,83,0.723,0.0203488935309919,
XLE,6m,unfiltered,127,0.654,-0.01781314292203641,2.0
XLE,7m,filtered,83,0.699,0.024428542926222877,
XLE,7m,unfiltered,127,0.638,-0.01779099501797014,2.0
XLE,8m,filtered,83,0.675,0.02394520425160222,
XLE,8m,unfiltered,127,0.606,-0.01795787270355974,2.0
XLF,1d,filtered,73,0.603,-0.010805925477998048,
XLF,1d,unfiltered,127,0.512,-0.009339283463677777,5.0
XLF,5d,filtered,73,0.589,-0.0006876580285440351,
XLF,5d,unfiltered,127,0.528,-0.0034475788487979427,4.0
XLF,10d,filtered,73,0.63,0.0026042611139668187,
XLF,10d,unfiltered,127,0.559,-0.0008359916199735034,1.0
XLF,15d,filtered,73,0.616,0.0015286583995172116,
XLF,15d,unfiltered,127,0.535,-0.0018000019652587285,1.0
XLF,1m,filtered,73,0.616,0.002218584436323974,
XLF,1m,unfiltered,127,0.559,-0.0021523771651895296,2.0
XLF,2m,filtered,73,0.822,0.015207790145796492,
XLF,2m,unfiltered,127,0.685,-0.024305758886898225,1.0
XLF,3m,filtered,73,0.795,0.01950667376347816,
XLF,3m,unfiltered,127,0.701,-0.025663559658648923,1.0
XLF,4m,filtered,73,0.781,0.02402070968398779,
XLF,4m,unfiltered,127,0.74,-0.02731800645212466,1.0
XLF,5m,filtered,73,0.795,0.022908604330525193,
XLF,5m,unfiltered,127,0.732,-0.028520796896723204,1.0
XLF,6m,filtered,73,0.781,0.024984937102244854,
XLF,6m,unfiltered,127,0.685,-0.031159090084068582,1.0
XLF,7m,filtered,73,0.795,0.023776807904136162,
XLF,7m,unfiltered,127,0.709,-0.034032383354348626,1.0
XLF,8m,filtered,73,0.767,0.02248785986803044,
XLF,8m,unfiltered,127,0.701,-0.037422358470256746,1.0
XLI,1d,filtered,83,0.578,0.0002614439882604526,
XLI,1d,unfiltered,127,0.598,-0.0006723494777192353,1.0
XLI,5d,filtered,83,0.566,-0.0037911313833696265,
XLI,5d,unfiltered,127,0.583,-0.0040406755574925015,3.0
XLI,10d,filtered,83,0.614,-0.0014418128550117303,
XLI,10d,unfiltered,127,0.591,-0.0019014981101117946,3.0
XLI,15d,filtered,83,0.614,0.0006387045001499302,
XLI,15d,unfiltered,127,0.583,-0.0011590883798472003,2.0
XLI,1m,filtered,83,0.675,0.0010523007908094855,
XLI,1m,unfiltered,127,0.622,-0.002634290754845506,3.0
XLI,2m,filtered,83,0.675,0.006454142141804228,
XLI,2m,unfiltered,127,0.614,-0.027612937482230232,3.0
XLI,3m,filtered,83,0.723,0.009839427304347179,
XLI,3m,unfiltered,127,0.669,-0.038576403419919233,3.0
XLI,4m,filtered,83,0.723,0.014003873775376563,
XLI,4m,unfiltered,127,0.669,-0.04421936409910703,4.0
XLI,5m,filtered,83,0.711,0.01661957207734879,
XLI,5m,unfiltered,127,0.661,-0.04714788139233713,4.0
XLI,6m,filtered,83,0.723,0.017380126940676886,
XLI,6m,unfiltered,127,0.646,-0.04867650817354673,4.0
XLI,7m,filtered,83,0.711,0.014625743270739086,
XLI,7m,unfiltered,127,0.63,-0.05093682395402651,5.0
XLI,8m,filtered,83,0.711,0.014406502338134036,
XLI,8m,unfiltered,127,0.638,-0.04821235508198569,4.0
XLK,1d,filtered,70,0.643,0.0020066738773054627,
XLK,1d,unfiltered,127,0.622,0.007585477569634657,
XLK,5d,filtered,70,0.686,0.0034838907349365933,
XLK,5d,unfiltered,127,0.622,0.002438969816067181,
XLK,10d,filtered,70,0.671,0.0055738859575937385,
XLK,10d,unfiltered,127,0.646,0.005288336663905779,
XLK,15d,filtered,70,0.714,0.009060080152497622,
XLK,15d,unfiltered,127,0.622,0.004499389268434511,
XLK,1m,filtered,70,0.7,0.009689590617398025,
XLK,1m,unfiltered,127,0.606,-0.0010950992256480306,1.0
XLK,2m,filtered,70,0.714,0.017656698380614802,
XLK,2m,unfiltered,127,0.598,-0.05795755380295684,2.0
XLK,3m,filtered,70,0.714,0.018668198010362114,
XLK,3m,unfiltered,127,0.606,-0.07457019661457312,4.0
XLK,4m,filtered,70,0.714,0.019824785542581363,
XLK,4m,unfiltered,127,0.583,-0.07312397209486311,5.0
XLK,5m,filtered,70,0.729,0.019007839393606073,
XLK,5m,unfiltered,127,0.559,-0.07111161951136184,6.0
XLK,6m,filtered,70,0.743,0.023859703124635954,
XLK,6m,unfiltered,127,0.559,-0.06956726193194765,8.0
XLK,7m,filtered,70,0.771,0.026332446753471028,
XLK,7m,unfiltered,127,0.551,-0.07543783242087027,10.0
XLK,8m,filtered,70,0.743,0.02237372780759024,
XLK,8m,unfiltered,127,0.535,-0.07858870192278372,11.0
XLP,1d,filtered,62,0.468,-0.006373484247091004,
XLP,1d,unfiltered,127,0.528,0.002658141798538292,
XLP,5d,filtered,62,0.629,0.005827242318607212,
XLP,5d,unfiltered,127,0.606,0.0005615557013993845,
XLP,10d,filtered,62,0.742,0.008017927249648543,
