origin_idx,origin_date,alpha_con,gamma_con,beta_con,lam0_con,lam1_con,delta_con,lam2_con,LLF_con,exitflag_con,delta_unc,LLF_unc,alpha_unc,gamma_unc,beta_unc,lam0_unc,lam1_unc,lam2_unc
3773,2015-01-02,0.00240891686837153,0.12643857429114,0.907896609009838,0.00246822311265033,0.00823368063334398,4.04752213784916e-10,0.987459646281522,-3666.73833371708,2,-0.00210860651234582,-3665.47442815861,5.16795536267726e-07,0.123098490701384,0.916853184046919,0.00408164037062884,0.00237338649521628,0.99483563262052
3794,2015-02-03,0.00392456396756706,0.127662405200779,0.905950533453718,0.00279898177533869,0.00859368532991861,4.23834569391025e-12,0.986677715111748,-3670.8081431409,2,-0.00207523380774382,-3669.31772526238,0.00014031152117245,0.123746075866384,0.917796466129187,0.00384027767521155,0.000441780508225982,0.997186164925491
3815,2015-03-05,0.00466442699282329,0.127032698796542,0.905310023715774,0.00262691741982379,0.00690452490046773,2.20296049120611e-11,0.988523753098079,-3658.23251311097,2,-0.00184934547689733,-3657.1104637327,0.000595207416944766,0.12388286172954,0.916260752146839,0.00371858217042952,0.000721760614718359,0.996598092665448
3836,2015-04-06,0.00279487490064465,0.128565473985314,0.90694193493739,0.00302924581645971,0.00651423635992,2.05995684075743e-11,0.988258939448915,-3658.32339548188,1,-0.00201748118792855,-3656.86835313206,9.930661556903e-06,0.124130282405624,0.917370196500331,0.00410140324296881,8.65016665433994e-06,0.997025736933828
3857,2015-05-05,0.00405195697160518,0.129220499861221,0.904639665353375,0.00287179664335513,0.00639513836467494,2.22748734539019e-11,0.988595178406312,-3646.72482741753,1,-0.00188205309591366,-3645.62518105639,0.000297001006166545,0.12573423599764,0.915328013278264,0.00401513246232689,0.000439610257529176,0.996429213708531
3878,2015-06-04,0.00474460296463628,0.124299286146299,0.910411079292505,0.551384399115848,8.49408691359627e-09,0.0213815423816728,3.51209022749167e-07,-3630.60499989873,1,0.0213762206747703,-3630.60501263952,0.0047446534259939,0.124299231989339,0.910411042200029,0.551324617327374,2.71753680787421e-06,0.00011193917215785
3899,2015-07-06,0.00418087274274476,0.126020134131074,0.910092566381198,0.561940964385479,2.1837521344515e-07,0.0166031031792466,9.12500953950669e-06,-3619.51547284773,2,0.0165940115270037,-3619.51548803283,0.00418090315051659,0.126020021480662,0.91009259851404,0.561848062997186,4.36661386995658e-06,0.000182500734378635
3920,2015-08-04,0.00465173948029248,0.124804972394597,0.909862822199162,0.555580465128798,9.77727746070581e-07,0.0170056123262006,4.126726335478e-05,-3595.33416927354,1,0.01699616982927,-3595.33418126606,0.00465177545745764,0.12480486736889,0.909862883197356,0.555518339739958,3.91036189939106e-06,0.000165171355888703
3941,2015-09-02,0.00533338105556724,0.138664186654617,0.89594283583396,0.00387389432734674,0.00811496333704764,5.64534111549725e-10,0.985357960054716,-3598.98192664946,1,-0.00197899879604582,-3597.78872081168,0.00130641420866332,0.133143214509031,0.909706725309176,0.00421170741970761,4.16648391595686e-08,0.996818446373599
3962,2015-10-02,0.00678214359797967,0.133862760062265,0.900382622222965,0.559196009305398,2.7811827535085e-07,0.0238260479621427,5.44166237376621e-06,-3588.74127439156,2,0.0238198854684187,-3588.74128638761,0.00678215532830853,0.133862736520526,0.900382649330048,0.559153112057173,4.44931623887277e-06,8.6976247825808e-05
3983,2015-11-02,0.0049233846132228,0.140155180457233,0.89217740518707,0.00464054935447184,0.0100671549713602,1.03931649592782e-09,0.981871848055852,-3576.86471116416,1,-0.00170733937246098,-3576.04391162516,0.00158801457770332,0.134608536917728,0.906548939705433,0.0038123356366911,2.95167843441341e-08,0.996867310816928
4004,2015-12-02,0.00463019692334735,0.136714519926165,0.901395206945014,0.55711749495612,4.888942991063e-07,0.0290572108360266,4.1334401674787e-06,-3570.49233508214,1,0.0290273330669252,-3570.49239820503,0.00462989938415456,0.136714165546331,0.901395625495015,0.556936409958582,3.90559727666213e-05,0.000330048115531375
4025,2016-01-04,0.00607246146169539,0.141919740981195,0.890754064854863,0.00493293110485977,0.0106863928316798,1.10615965592827e-09,0.98102566570169,-3576.71636325901,1,-0.00185312739098061,-3575.72777354077,0.00208324658642615,0.136029867692671,0.906446525293859,0.00394416338292384,6.56035768775337e-07,0.997034157258253
4046,2016-02-03,0.00581597868374681,0.138944573961201,0.894295518840937,0.00469312491406094,0.00876061437461157,7.69994774360421e-10,0.983319920033135,-3576.25332805627,1,-0.00188534988598707,-3575.17654069713,0.00201431751840911,0.134222181166049,0.907733963767188,0.00406687269439874,2.24243669918667e-08,0.996879511837926
4067,2016-03-04,0.00607930703551594,0.134617839702254,0.90184774467406,0.563963492357073,2.42903903166911e-06,0.0313313808812829,1.76890748716471e-05,-3571.24779622879,2,0.0313325171332718,-3571.24779543135,0.00607931327932468,0.134617719067429,0.901847797661859,0.56396399112005,1.94293769042525e-06,1.41736585280003e-05
4088,2016-04-05,4.7428471547743e-09,0.147978129029632,0.893011825316165,0.00541443778808743,0.00890248972285925,2.48328057761854e-10,0.981621605220854,-3545.5577173682,1,-0.00169746244923562,-3544.86786447589,9.81072464910113e-05,0.141041915996097,0.903594563075208,0.00406882244492285,0.000144572721509976,0.99626718478083
4109,2016-05-04,1.27972399628934e-09,0.147395863698508,0.897569839791646,0.513566351998656,1.07478098041617e-08,5.46226646350787e-09,0.109972314633322,-3536.09176296712,1,-0.00897777096849487,-3535.74270845788,1.85303173209397e-08,0.145533330318096,0.900184988264587,0.0612645588748953,9.7677330559046e-08,0.912356976763794
4130,2016-06-03,3.029727721865e-09,0.149536679733921,0.889504537253114,0.00592335800978017,0.0110669086783142,3.31385620000195e-10,0.978476247400041,-3539.65179134475,1,-0.00152519958141699,-3539.36015845817,2.01459444566284e-07,0.14219828742647,0.902089161423556,0.00370551819417735,1.07776654085061e-06,0.996670632685233
4151,2016-07-05,2.37796576126891e-09,0.146237582169157,0.897988331440469,0.508291427432248,4.2927568055234e-08,8.88058820591914e-09,0.114858304074745,-3537.47502874622,1,-0.014086381450386,-3536.58450150074,3.25508376175249e-08,0.143529122827749,0.90191737384727,0.0622997824386987,1.00186804452387e-07,0.920381774729851
4172,2016-08-03,3.74216143718161e-10,0.149773412655874,0.89136659671629,0.00499932778336724,0.00673119470897556,4.6496481056504e-11,0.984450697678095,-3531.83631215249,1,-0.00174051003069648,-3531.16367496358,5.43071037899022e-07,0.143389341080438,0.901168546826887,0.00436777101654274,7.98039878300697e-07,0.995944283130418
4193,2016-09-01,4.53695093725175e-09,0.148658060387933,0.896395681665825,0.501956925323751,3.82211244307619e-08,1.00349652562124e-08,0.119046368129635,-3524.53462138466,1,-0.0147489068794697,-3523.83955471091,4.89275925311062e-10,0.146171581777547,0.900068039635182,0.0714938424676205,7.73217915415423e-10,0.905066859194825
4214,2016-10-03,3.60981022760595e-09,0.155619728892508,0.885589810087434,0.00506484705397553,0.00875957384079169,3.35623392975938e-10,0.982388670932932,-3538.49198561828,1,-0.00162358302020841,-3538.15284845996,1.61175475508282e-07,0.148404832334684,0.897547853363822,0.00411862709569936,1.4724413069895e-06,0.996172214667342
4235,2016-11-01,0.00180059109948697,0.153030512581344,0.889970963685567,0.502410675252549,4.02317081118494e-08,1.16050273214415e-08,0.12626593052574,-3541.22547007351,1,-0.0171828450545395,-3540.4108634507,2.73318938761756e-07,0.150634619410574,0.896067610701987,0.0786840235747809,5.00678282480546e-08,0.898216627802358
4256,2016-12-01,0.0021125226864382,0.16170587506469,0.875700435738433,0.00540326356639063,0.0120324127900325,6.87364538066222e-08,0.978628171441355,-3553.76182841097,1,-0.000952579512271332,-3553.70193804607,0.00146792420817142,0.15968246888824,0.88000282477078,0.00572058361034887,0.00969741170178531,0.982342816041626
4277,2017-01-03,3.0022799606978e-08,0.160561979049485,0.857411371176201,0.179628776994904,0.683266395266663,5.92006762302163e-07,1.86503200406829e-06,-3556.82923538218,1,-0.0136140317357909,-3556.81082992392,2.89552367949104e-10,0.160028835988132,0.858197349357154,0.193560672546459,0.686684846027887,1.93676937871292e-08
