Ticker,Horizon,Mode,n,relQLIKE_MF2,relQLIKE_MF2V,relRMSE_MF2,relRMSE_MF2V,dbar_QL,dbar_SE,J_HAC,DM_iid_QL,DM_HAC_QL,DM_HLN_QL,p_HLN_QL,p_boot_QL,DM_iid_SE,DM_HAC_SE,DM_HLN_SE,p_HLN_SE,p_boot_SE
AAPL,1d,filtered,50,0.780378467392734,0.782515773386934,0.693145507856558,0.689384525971316,-0.00446985496062589,0.110354626263285,3,-1.48987952801714,-1.34722014260086,-1.33367989801785,0.905762340457652,0.8778,0.578333528881231,0.547517285224878,0.542014459279104,0.29513250667072,0.2483
AAPL,5d,filtered,50,0.934157568695416,0.933849272631627,1.04111572601896,1.01424182041385,0.00109304706000021,11.5959875952307,3,0.405565519149367,0.357535186423081,0.35394177676558,0.362450517745263,0.384,1.28858135258,1.31133246588501,1.29815291062431,0.100156008471261,0.0365
AAPL,10d,filtered,50,0.954397626763533,0.954050955816417,1.1131203518843,1.07640649133364,0.00144894294155468,50.1450906768687,3,0.49639005736161,0.395271680123899,0.391298999597252,0.348636332420966,0.3721,1.37404685307107,1.41510936669338,1.40088680103329,0.0837747014460637,0.0239
AAPL,15d,filtered,50,0.961756591268335,0.961189543195196,1.12636628100357,1.08115356478823,0.0025682819276478,120.79820043103,3,0.863048896918046,0.65952891669635,0.652900317138449,0.258436151787683,0.3002,1.54633056110795,1.57820899014653,1.56234719068706,0.0623211569283015,0.0144
AAPL,1m,filtered,50,0.969327445093987,0.968401167058831,0.992303320805758,0.941530700675963,0.00458855239443698,208.564757247211,3,1.95758466049267,1.44716678600546,1.43262202704937,0.0791575821683101,0.1494,1.72863586024923,1.71309803282882,1.69588053019083,0.0481271139198958,0.0113
AAPL,2m,filtered,50,0.983942095151388,0.981461298225255,0.941364712480863,0.870235505089782,0.0121606596229204,247.959555290987,3,3.19202312714754,2.537429930394,2.46117623364948,0.0087086902700535,0.0375,3.30634106157239,2.94043790854304,2.85207319829494,0.00317140531184135,0.0069
AAPL,3m,filtered,50,0.98200897308041,0.979900056943586,0.870484619498055,0.809011216242656,0.0103678715868387,217.617960733117,3,2.43478041199254,1.89765250718904,1.80267000261503,0.0387959562932754,0.0754,3.58409869327522,2.64736454746083,2.5148569812517,0.0076195375391126,0.0163
AAPL,4m,filtered,50,0.981158834497752,0.980032707196697,0.862166990170946,0.817915646717825,0.00551622970698443,169.834435355435,3,1.26916742197086,0.926105058441786,0.861227912317037,0.196653715057011,0.2523,3.06157663737723,1.88493468409678,1.75288791270617,0.0429380389758232,0.06
AAPL,5m,filtered,50,0.985293367948913,0.984768184191309,0.90674282147841,0.868140124646148,0.00254109101437621,146.129084605975,4,0.562881529012766,0.381379073205116,0.347034001089866,0.365025930383194,0.3886,2.51902611529483,1.39102189829565,1.26575349536689,0.105793348923939,0.1092
AAPL,6m,filtered,50,0.98690142617414,0.986917951901824,0.939661930017668,0.905475665997657,-7.91014082449415e-05,135.359377579687,5,-0.0170213408253381,-0.0108103988432446,-0.00962064762554055,0.503818492160307,0.5009,2.21009193573113,1.15227057029195,1.02545607121488,0.155091973066793,0.154
