origin_idx,origin_date,alpha_con,gamma_con,beta_con,lam0_con,lam1_con,delta_con,lam2_con,LLF_con,exitflag_con,delta_unc,LLF_unc,alpha_unc,gamma_unc,beta_unc,lam0_unc,lam1_unc,lam2_unc
3773,2015-01-02,0.00949381407074427,0.128410369823397,0.862462221312606,7.15705538848381e-12,0.00286260542457372,0.00241272273635537,0.996137394574492,-7113.66076893322,2,0.00241271759470266,-7113.66076893668,0.00949383863308354,0.128410060535549,0.862462241514027,8.9462701772139e-12,0.00286259087472823,0.996137409124104
3794,2015-02-03,0.00995300686434502,0.130251767073065,0.861646100499338,2.17349968994095e-12,0.00301719698620997,0.00254568552956042,0.995982803013512,-7110.45743839308,1,0.00254568475937599,-7110.45743842364,0.00995301558862948,0.130251785078028,0.861646067079504,4.34699359422067e-11,0.00301719560815977,0.995982804386289
3815,2015-03-05,0.00964595885600476,0.12568792776148,0.865419462052775,4.20492799333789e-11,0.00297842267405735,0.00252601002071543,0.996021577320496,-7088.57610047352,2,0.00252601081874022,-7088.57610060162,0.00964593925944893,0.125687910216079,0.865419569730935,2.10270847913368e-10,0.00297842037124793,0.996021579601578
3836,2015-04-06,0.00886091476385102,0.122947025874912,0.868678590154491,4.68403873756113e-11,0.00342072073214064,0.00246347870427202,0.995579279261376,-7079.85730277069,2,0.00246347840722058,-7079.85730277043,0.00886092367956842,0.122947067307981,0.868678548756368,4.68402732742549e-11,0.0034207247557254,0.995579275237791
3857,2015-05-05,0.00933845321469928,0.12469637406487,0.866105041285727,2.36946736798186e-12,0.00359693489879428,0.00244799129513811,0.995403065100857,-7064.90780113742,1,0.00244798959504615,-7064.90780116778,0.00933841589944582,0.124696373809481,0.866105048446648,4.73890238137453e-11,0.00359693727831196,0.995403062714703
3878,2015-06-04,0.00937843115837996,0.124373009213068,0.865966071640017,2.21119486324327e-12,0.00376312315776396,0.0023523267719224,0.995236876841907,-7044.73737236229,2,0.00235232830825713,-7044.7373725195,0.0093783820021652,0.124373129031717,0.865966137885818,2.21119344660422e-10,0.00376315113169521,0.995236848835445
3899,2015-07-06,0.0121040757120353,0.125973862034622,0.861533862035955,1.73548511017072e-12,0.00365461628068647,0.0022183488314455,0.995345383719026,-7003.77022926772,1,0.00221834707423827,-7003.77022942733,0.0121037960366341,0.125973947062567,0.861534031239447,1.73547245525315e-10,0.00365458740142524,0.995345412569845
3920,2015-08-04,0.0119556973010667,0.128872936434173,0.858181204284675,1.99516347039705e-12,0.00396168835672282,0.00236918334296925,0.99503831164283,-6985.73159873081,1,0.00236918380947107,-6985.7315988884,0.0119557779795243,0.128872915318683,0.858181101791157,1.99483194774539e-10,0.00396169760331366,0.995038302352238
3941,2015-09-02,0.0112429274983083,0.127805532856723,0.864304350143918,6.57399664792324e-11,0.00560325491739967,0.00269928355684745,0.993396745049845,-6993.38887273282,2,0.00269928343663639,-6993.38887334095,0.01124292696507,0.1278055353282,0.864304327519485,1.31479165332736e-09,0.00560325928598571,0.993396740058919
3962,2015-10-02,0.0103170749904128,0.128988582470472,0.85714786552421,6.84438995630195e-10,0.0106386678512279,0.00503883014109784,0.987961659372087,-6990.72662367336,2,0.00503887331864802,-6990.72662399448,0.0103170649098723,0.128988545929529,0.85714782064093,3.43699996951478e-09,0.0106386720541756,0.987961644267557
3983,2015-11-02,0.0113016499779942,0.129313378517577,0.855893993984319,6.58669320386297e-10,0.0113397968504705,0.00776374173645279,0.986716063467796,-6978.28234357498,2,0.00776385734133249,-6978.2823435121,0.0113016761793619,0.129313565887644,0.855893750503668,1.31734442031791e-10,0.0113398496210554,0.98671598783919
